Timestamp,SensorType,SensorID,Event
2024-01-01 00:24:43,DoorSensor,22,0.5941654335810519
2024-01-01 01:19:53,MotionSensor,26,0.9788365649628955
2024-01-01 02:06:00,DoorSensor,15,0.42663632188416645
2024-01-01 02:19:20,WindowSensor,10,0.3343186171973047
2024-01-01 02:27:46,WindowSensor,10,0.619413509525871
2024-01-01 03:12:01,DoorSensor,10,0.5263394375219346
2024-01-01 05:25:38,WindowSensor,19,0.9651388742650234
2024-01-01 05:51:33,MotionSensor,27,0.5504568771590829
2024-01-01 06:01:30,MotionSensor,27,0.22126341656143034
2024-01-01 06:04:34,WindowSensor,22,0.973727009396052
2024-01-01 06:54:46,WindowSensor,11,0.3538773409127006
2024-01-01 07:43:04,WindowSensor,17,0.32172163060033376
2024-01-01 08:16:32,MotionSensor,22,0.17070767231218853
2024-01-01 09:04:56,DoorSensor,1,0.05258078742490191
2024-01-01 09:39:05,DoorSensor,8,0.48962423447418923
2024-01-01 09:43:10,MotionSensor,29,0.1608298971361588
2024-01-01 10:21:23,MotionSensor,2,0.3811922691780555
2024-01-01 10:51:20,WindowSensor,22,0.36600826296994393
2024-01-01 11:21:18,DoorSensor,22,0.9556047380324525
2024-01-01 12:17:10,MotionSensor,5,0.38956240465011005
2024-01-01 13:10:58,WindowSensor,11,0.7630190147814022
2024-01-01 13:15:58,DoorSensor,29,0.4359100939086289
2024-01-01 13:31:53,WindowSensor,1,0.9191039737631809
2024-01-01 14:10:43,DoorSensor,4,0.007220181374404944
2024-01-01 15:13:22,WindowSensor,27,0.6300349046962701
2024-01-01 15:23:57,WindowSensor,26,0.45782193080153
2024-01-01 20:00:28,WindowSensor,11,0.7660472524149934
2024-01-01 20:00:47,DoorSensor,27,0.6573862880750688
2024-01-01 20:18:01,DoorSensor,9,0.5741661273897164
2024-01-01 21:07:08,DoorSensor,11,0.5546481033225705
2024-01-01 21:57:42,MotionSensor,30,0.17714989503266132
2024-01-02 01:06:03,DoorSensor,23,0.6400971053196375
2024-01-02 01:34:57,MotionSensor,26,0.7711872843357531
2024-01-02 03:08:18,DoorSensor,21,0.5124364338754471
